"","V1","V2","V3","V4","V5","V6","V7"
"1",1.40102120919209,1.11346399534362,1.13490721115909,1.44510489574933,1.37116915819213,1.54636435541119,1.57014263443579
"2",0.927820437207369,0.745627467613519,1.28454771684542,1.42470616664122,1.18172935611598,1.39182848159668,1.50888616477338
"3",0.981095075769351,0.666005851462799,1.21728996985005,0.975852675307878,1.06174252861725,1.39087952971734,1.56196302871919
"4",0.824221862540311,0.572765601572619,0.780945402093099,0.828757805683393,0.907780323283821,1.30785632814776,1.49335457520264
"5",0.739734221793659,0.569776082008779,0.623430748514493,0.703333674713033,0.87651395276047,1.47721375789803,1.48438583649481
"6",0.620264451529348,0.476343423446948,0.602162576928378,0.655984821789006,0.80094401012622,1.79673341942843,1.52659418492633
"7",0.536841374981865,0.460221227587143,0.585966693022231,0.596453402013021,0.708565489218681,1.75618872885868,1.70388165984118
"8",0.533504479981819,0.445929220015561,0.567745618953998,0.534853239113755,0.633193446291776,1.46170389322478,1.59471004847121
"9",0.554180238675842,0.433931068015738,0.575406490291068,0.589715787634962,0.616831441228762,1.0715776059379,1.16120540681872
"10",0.474041158984764,0.432607416575598,0.47596385953958,0.492848686211138,0.537959667271961,0.637942583169132,0.694615130144168
"11",0.515646437848928,0.48324488231857,0.573937130455561,0.553093578925769,0.585077857480535,0.524114457427626,0.537959141699728
"12",0.804505118540305,0.807752850359291,0.987486832095842,1.13996291392621,0.922831838553318,0.519431024937164,0.500222432945636
"13",0.997273441622215,1.08412292829023,1.25138861366731,1.39655068657864,0.971773767135513,0.558365657974702,0.503631182674671
"14",1.21328691180008,1.37026586086962,1.72550744094377,1.99604469106043,1.25328593834552,0.736213559378416,0.595087163134496
"15",1.2916887552222,1.55388455999714,1.90542405820311,2.05566324635146,1.41607413150026,0.927977085137613,0.66507357216399
"16",1.60124043148659,1.86242215338964,1.9077487266636,2.02121815388048,1.61318671041013,1.19290828477211,0.819338917594707
"17",1.48596559225113,1.82171530849989,1.83513343646538,1.78212416271528,1.47626423623234,1.04849028181856,0.897241914800176
"18",1.6318323556723,1.85763104560448,1.71734499654245,1.71681112112137,1.49752014768841,1.17547268335992,1.0378860534239
"19",1.58837424047107,1.78890706868603,1.66871290994436,1.67335736688774,1.46598059093828,1.14350830195164,1.07574889404716
"20",1.40374575992161,1.71849132092557,1.58321370629758,1.59681080545074,1.41367717556975,1.40232633106029,1.19960719404579
"21",1.25647824168682,1.37672230543644,1.47054257164962,1.43498786942655,1.31488001253156,1.32834593218137,1.22837249871177
"22",1.24769150636418,1.28623387365224,1.47855270726676,1.44012435184065,1.27264834642783,1.42155527900274,1.39694058939937
"23",1.13724922213474,1.22663158727348,1.43048287725719,1.38248144268035,1.18881891485358,1.43048705708069,1.4218119281117
"24",1.19352445499903,1.25281600475948,1.48048842294648,1.4236445076305,1.22232425478922,1.35988581283496,1.41508094122365
"25",1.18672122283006,1.21559497000047,1.43747863680373,1.41179789237305,1.23824106911598,1.50400044517003,1.43787989970594
"26",1.1928745900145,1.24511723587329,1.35534624141513,1.42856591786537,1.13283635709203,1.46991531601696,1.49273781046022
