"","V1","V2","V3","V4","V5","V6","V7"
"1",2.00448643345195,1.9111642808546,2.35722311904808,2.97491908076711,2.87011754261259,2.88147220695246,2.72465977739486
"2",1.51273869901334,1.46842287917398,2.17569906550265,2.52895315422398,2.52002499716757,2.88791731170026,2.71153607897727
"3",1.42817185533523,1.17482565792058,1.84740134869666,1.95598235377699,2.29962384726579,3.14006074278743,3.22268250798453
"4",1.36060046985211,1.04402337749942,1.43282034781709,1.63274301028814,2.11202111617341,3.45561099292541,3.4176796277315
"5",1.22097109468797,0.963372175837745,1.27514533381636,1.46626786168927,1.95021655966306,3.65991303912435,3.68354995463402
"6",0.906567001929898,0.82078055492608,1.21759394413868,1.31024150319685,1.83223814329809,3.51225403855524,3.59482611966442
"7",0.751509944694748,0.713071858322723,1.1731983527981,1.29730615722835,1.72119488640081,3.16024725881894,3.30983017246949
"8",0.841991067694773,0.655394937363534,1.12807760425456,1.1479455683195,1.4562753943147,3.21125601599038,3.35469412694497
"9",0.863604860063406,0.735085578476735,1.10496101418877,1.22607071631772,1.34536854207808,2.37687971082643,2.53803699791446
"10",0.752414016937831,0.666538222227937,0.803979441041871,0.818885785288623,0.945026754837409,1.41407707615476,1.47424921947566
"11",0.939324602496443,0.88370501777065,1.00398516801162,1.04106310815488,1.00207318745764,0.964621252286061,1.04780621801138
"12",2.5202604863405,2.37144264378519,2.90717796983134,3.02225300045824,2.58715785301283,0.906502534282411,0.854756936639988
"13",3.71216579920766,4.05561129990907,4.43725099497168,4.82733873593651,3.62817718871281,1.12081767695094,0.862160359548084
"14",5.20767159291345,5.57341428263672,6.53289086024557,6.73114223360156,4.88856360595611,1.65612295220913,1.13120979441665
"15",5.30868117929871,5.57421317228174,6.99417220366937,7.03284571801481,4.83160523622167,1.95680537643545,1.2080094678168
"16",5.12638208842102,5.39114679228858,6.74666407262221,6.67053184021317,5.06812366156051,2.53174100734926,1.62885671164049
"17",4.64728442103822,4.88373625599075,6.16869289137615,6.01797154139911,4.58329700335192,2.1510682274516,2.0518183435805
"18",4.40062585209223,4.5016778011189,5.83023492937624,5.79638817584793,4.54535940041402,2.67037864486574,2.25440499142412
"19",4.04932281458761,4.24265122106166,5.30520834002385,5.32998409596658,4.06712251498964,2.66004631654096,2.37708699399452
"20",3.68732303393269,3.99322303962236,4.67766340233535,4.69952299057159,3.54780471161985,2.96599334762393,2.87907242819268
"21",3.25569475765089,3.39401330855475,3.97795085006519,3.92300695244711,2.90055457008377,2.80938404650919,2.76523914770857
"22",2.6887612496286,2.78243610172357,3.38933192639767,3.2960555086983,2.50197008313748,2.87161547579855,2.79798016387342
